39, State-gov,2, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,11,1,40, United-States, <=50K
41, State-gov,1, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1,40, United-States, <=50K
29, Private,1, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,1,43, United-States, <=50K
25, Private,1, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,1,40, United-States, <=50K
18, Private,1, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,1,30, ?, <=50K
47, Private,1, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,-10,1,60, Honduras, >50K
50, Federal-gov,1, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,1,55, United-States, >50K
47, Self-emp-inc,1, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,1,60, United-States, <=50K
43, Private,1, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,1,40, United-States, >50K
46, Private,1, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1,40, Mexico, <=50K
35, Private,1, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,1,40, Puerto-Rico, <=50K
41, Private,1, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1,48, United-States, <=50K
30, Private,1, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,25,1,40, United-States, <=50K
30, Private,1, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,12,1,40, United-States, <=50K
32, ?,1, 7th-8th,4, Married-spouse-absent, ?, Not-in-family, White, Male,0,1,40, ?, <=50K
48, Private,1, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1,40, United-States, <=50K
42, Private,1, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,45, United-States, >50K
29, Private,1, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,0,1,58, United-States, <=50K
36, Private,1, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1,40, United-States, <=50K
28, Private,1, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,1,40, United-States, <=50K
53, Private,1, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,1,40, United-States, >50K
49, Self-emp-inc,1, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1,50, United-States, >50K
25, ?,1, Some-college,10, Never-married, ?, Own-child, White, Male,0,1,40, United-States, <=50K
19, Private,1, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,1,32, United-States, <=50K
31, Private,1, Bachelors,13, Separated, Sales, Own-child, Black, Female,0,1,40, United-States, <=50K
29, Self-emp-not-inc,1, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,1,70, United-States, >50K
23, Private,1, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,1,40, United-States, <=50K
79, Private,1, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,1,20, United-States, <=50K
27, Private,1, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,1,40, Mexico, <=50K
40, Private,1, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1,40, United-States, <=50K
67, ?,1, 10th,6, Married-civ-spouse, ?, Husband, White, Male,0,1,2, United-States, <=50K
18, Private,1, 11th,7, Never-married, Other-service, Own-child, White, Female,0,1,22, United-States, <=50K
31, Local-gov,1, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1,40, United-States, <=50K
18, Private,1, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,1,30, United-States, <=50K
52, Private,1, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,1,40, Cuba, <=50K
46, Private,1, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,1,40, United-States, <=50K
59, Private,1, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,1,48, United-States, <=50K
44, Private,1, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,72,1,40, United-States, >50K
53, Private,1, HS-grad,9, Divorced, Sales, Own-child, White, Female,0,1,35, United-States, <=50K
49, Local-gov,1, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1,40, United-States, >50K
33, Private,1, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,50, United-States, <=50K
30, Private,1, 9th,5, Never-married, Sales, Not-in-family, White, Male,0,1,40, United-States, <=50K
43, Federal-gov,1, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,1,50, United-States, >50K
57, Private,1, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,40, United-States, <=50K
37, Private,1, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,0,1,40, United-States, <=50K
28, Private,1, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,1,25, United-States, <=50K
30, Private,1, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,-8,1,35, ?, <=50K
34, Local-gov,1, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1,40, United-States, >50K
29, Local-gov,1, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,1,50, United-States, <=50K
48, Self-emp-not-inc,1, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,-10,1,60, United-States, >50K
37, Private,1, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,1,48, United-States, >50K
48, Private,1, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female,0,1,40, England, <=50K
32, Federal-gov,1, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,1,40, United-States, <=50K
76, Private,1, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1,40, United-States, >50K
44, Private,1, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,75,1,60, United-States, >50K
47, Self-emp-not-inc,1, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,1,50, United-States, <=50K
20, Private,1, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,1,40, United-States, <=50K
29, Private,1, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,1,40, United-States, <=50K
32, Self-emp-inc,1, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,38,1,40, United-States, >50K
17, ?,1, 10th,6, Never-married, ?, Own-child, White, Female,170,1,32, United-States, <=50K
30, Private,1, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,1,40, United-States, <=50K
31, Local-gov,1, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,1,40, United-States, <=50K
42, Private,1, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1,40, United-States, <=50K
24, Private,1, Bachelors,13, Never-married, Sales, Other-relative, White, Male,0,1,40, United-States, <=50K
38, Private,1, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,40, United-States, >50K
56, Self-emp-not-inc,1, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,-9,1,50, Canada, >50K
28, Private,1, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,20,1,25, United-States, <=50K
36, Private,1, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,1,40, United-States, <=50K
53, Private,1, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1,50, United-States, <=50K
56, Self-emp-inc,1, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,1,50, United-States, <=50K
49, Local-gov,1, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1,40, United-States, >50K
55, Private,1, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,1,56, United-States, <=50K
22, Private,1, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,1,41, United-States, <=50K
21, Private,1, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,1,40, United-States, <=50K
40, Private,1, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1,60, United-States, <=50K
30, Private,1, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,0,1,40, Germany, <=50K
29, State-gov,1, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,50, United-States, >50K
19, Private,1, Some-college,10, Never-married, Other-service, Own-child, Black, Male,0,1,35, United-States, <=50K
47, Private,1, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,1,40, United-States, >50K
20, Private,1, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,-9,1,28, United-States, <=50K
31, Private,1, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1,40, United-States, >50K
35, ?,1, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,1,40, United-States, <=50K
39, Private,1, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,1,40, United-States, <=50K
28, Private,1, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,0,1,60, United-States, <=50K
24, Private,1, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,-9,1,40, United-States, <=50K
38, Self-emp-not-inc,1, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,22,1,35, United-States, <=50K
37, Private,1, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,1,50, United-States, <=50K
46, Private,1, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female,0,1,36, United-States, <=50K
38, Federal-gov,1, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,40, Iran, >50K
43, Self-emp-not-inc,1, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1,60, United-States, <=50K
27, Private,1, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,1,35, United-States, <=50K
20, Private,1, Some-college,10, Never-married, Sales, Own-child, White, Male,0,1,20, United-States, <=50K
49, Private,1, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1,40, United-States, >50K
61, Self-emp-inc,1, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1,40, United-States, <=50K
27, Private,1, Some-college,10, Never-married, Sales, Own-child, White, Female,0,1,40, United-States, <=50K
19, Private,1, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,1,30, Mexico, <=50K
45, Private,1, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,-8,1,40, United-States, >50K
70, Private,1, Some-college,10, Never-married, Tech-support, Other-relative, White, Male,0,1,40, United-States, <=50K
31, Private,1, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female,0,1,30, United-States, <=50K
22, Private,1, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,1,24, United-States, <=50K
36, Private,1, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,1,24, United-States, <=50K
64, Private,1, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,-11,1,40, United-States, <=50K
43, ?,1, Some-college,10, Divorced, ?, Not-in-family, White, Female,0,1,40, United-States, <=50K
47, Local-gov,1, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,1,38, Mexico, <=50K
34, Private,1, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,1,40, United-States, <=50K
33, Private,1, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,1,40, Philippines, <=50K
21, Private,1, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,1,35, United-States, <=50K
52, ?,1, HS-grad,9, Divorced, ?, Not-in-family, White, Male,0,1,45, United-States, >50K
48, Private,1, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1,46, United-States, <=50K
23, Private,1, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,1,40, United-States, <=50K
71, Self-emp-not-inc,1, Some-college,10, Separated, Sales, Unmarried, Black, Male,-9,1,2, United-States, <=50K
29, Private,1, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,1,60, United-States, <=50K
42, Private,1, Bachelors,13, Separated, Other-service, Other-relative, Black, Male,0,1,50, United-States, <=50K
68, ?,1, 1st-4th,2, Divorced, ?, Not-in-family, White, Female,0,1,20, United-States, <=50K
25, Private,1, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,1,40, United-States, <=50K
44, Self-emp-inc,1, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,1,40, United-States, <=50K
28, Private,1, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,1,40, England, <=50K
45, Self-emp-not-inc,1, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,1,40, United-States, >50K
36, Private,1, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,1,40, Mexico, <=50K
39, Federal-gov,1, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,1,42, United-States, <=50K
46, State-gov,1, Masters,14, Widowed, Protective-serv, Unmarried, White, Male,0,1,40, United-States, <=50K
18, Private,1, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,1,16, United-States, <=50K
66, Local-gov,1, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female,0,1,20, United-States, <=50K
27, Private,1, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,-10,1,40, United-States, <=50K
28, State-gov,1, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1,40, United-States, <=50K
51, Private,1, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,-10,1,40, United-States, >50K
27, Private,1, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,1,50, United-States, <=50K
28, State-gov,1, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,40, United-States, >50K
27, Private,1, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female,0,1,25, United-States, <=50K
21, Private,1, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,0,1,40, United-States, <=50K
34, Private,1, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,1,40, United-States, <=50K
18, Private,1, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,1,12, United-States, <=50K
33, Private,1, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,65, United-States, <=50K
44, Local-gov,1, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1,38, United-States, >50K
43, Private,1, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,1,40, United-States, <=50K
30, Private,1, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,1,45, United-States, <=50K
40, Private,1, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1,40, Mexico, >50K
37, Federal-gov,1, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1,42, United-States, >50K
34, Private,1, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,1,40, United-States, <=50K
41, Self-emp-not-inc,1, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,1,40, United-States, <=50K
53, ?,1, Bachelors,13, Divorced, ?, Not-in-family, White, Female,0,1,50, United-States, <=50K
31, Private,1, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1,50, United-States, <=50K
58, State-gov,1, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,1, United-States, >50K
38, Private,1, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,1,28, United-States, <=50K
24, Private,1, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1,40, United-States, <=50K
41, Local-gov,1, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1,40, United-States, <=50K
47, Private,1, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,1,45, United-States, <=50K
41, Federal-gov,1, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,1,24, United-States, <=50K
23, Private,1, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,1,40, Mexico, <=50K
36, Private,1, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,1,40, United-States, <=50K
40, Federal-gov,1, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,70,1,55, United-States, >50K
35, Private,1, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,36,1,40, United-States, >50K
24, Self-emp-not-inc,1, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,1,40, United-States, <=50K
26, Private,1, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,-9,1,40, United-States, <=50K
19, ?,1, HS-grad,9, Never-married, ?, Own-child, White, Male,0,1,40, Italy, <=50K
51, Private,1, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1,50, United-States, >50K
42, Local-gov,1, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,-7,1,40, United-States, <=50K
37, State-gov,1, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,1,35, United-States, <=50K
18, Private,1, 11th,7, Never-married, Sales, Own-child, White, Female,0,1,40, United-States, <=50K
36, Private,1, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male,36,1,36, United-States, >50K
35, Private,1, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,1,60, United-States, <=50K
58, Self-emp-inc,1, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,75,1,35, United-States, >50K
17, Private,1, 11th,7, Never-married, Sales, Own-child, White, Female,0,1,12, United-States, <=50K
44, Local-gov,1, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,1,40, United-States, <=50K
37, Private,1, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1,40, United-States, >50K
35, Private,1, Some-college,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,1,40, United-States, <=50K
60, Private,1, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1,40, United-States, <=50K
54, Self-emp-inc,1, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1,40, United-States, >50K
37, Private,1, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,1,60, United-States, >50K
50, Private,1, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female,0,1,40, United-States, <=50K
38, Private,1, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,1,50, Poland, <=50K
45, Private,1, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,55, United-States, <=50K
25, Private,1, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,1,40, United-States, <=50K
31, Private,1, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1,40, United-States, <=50K
64, ?,1, 1st-4th,2, Divorced, ?, Not-in-family, White, Male,0,1,40, United-States, <=50K
90, Private,1, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,-11,1,40, United-States, <=50K
54, Private,1, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,1,20, United-States, <=50K
53, Local-gov,1, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,1,35, United-States, <=50K
18, Private,1, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,1,40, United-States, <=50K
60, ?,1, 10th,6, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,0,1,10, United-States, <=50K
66, Self-emp-not-inc,1, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,7,1,50, United-States, <=50K
75, Private,1, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, Female,0,1,20, Columbia, <=50K
65, Private,1, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,1,40, United-States, <=50K
35, Private,1, 11th,7, Separated, Transport-moving, Not-in-family, Black, Male,18,1,40, United-States, <=50K
41, Private,1, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,0,1,38, United-States, <=50K
25, Private,1, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,1,42, United-States, <=50K
33, Private,1, Some-college,10, Divorced, Craft-repair, Other-relative, Other, Female,0,1,40, United-States, <=50K
28, Private,1, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,1,55, United-States, >50K
59, State-gov,1, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1,40, United-States, <=50K
40, State-gov,1, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,1,38, United-States, <=50K
41, Private,1, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1,50, Iran, >50K
38, Local-gov,1, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1,70, United-States, >50K
23, Private,1, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,1,40, United-States, <=50K
40, Private,1, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,40, United-States, >50K
41, Self-emp-not-inc,1, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,1,20, United-States, <=50K
24, State-gov,1, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1,50, United-States, <=50K
20, ?,1, Some-college,10, Never-married, ?, Own-child, White, Male,0,1,20, United-States, <=50K
38, Private,1, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,-9,1,40, United-States, <=50K
56, Private,1, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1,35, ?, <=50K
58, Private,1, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1,45, United-States, >50K
32, Private,1, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,1,34, United-States, <=50K
40, Private,1, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,-10,1,60, United-States, >50K
